,best,mean,time,variance,worst
0,001.01280257142,001.09469534813,37.9760529995,0.00325219843179,001.17971124608
1,00.896729267792,00.990051063789,83.8101761341,0.00483716831324,001.09945280022
2,00.907994054364,000.96132644121,127.949625015,0.00180179206988,001.03862082175
3,00.863793544426,00.925890824698,171.620205164,0.00221927080439,00.990437544997
4,00.832501743156,00.896950243024,215.177227974,0.00129848418292,00.950449751499
5,000.83698008619,00.897653091422,257.035724878,0.00158318340754,000.96173246877
6,000.84420438047,00.893993310348,298.289579868,00.001403837482,00.967943922624
7,00.807739407631,000.89954812597,342.520407915,0.00266000736594,00.986634050997
8,00.831017581723,00.875815098762,385.530692101,0.00106944796743,00.952410615002
9,00.835543293923,00.875015215539,424.05328989,0.000902069983189,00.941086908351
