,best,mean,time,variance,worst
0,00000000.733372,000000000000000,84.2894630432,-00000000000000,0000001.5025746
1,0000000.7391282,000000000000000,93.0078730583,-00000000000000,0000001.4034389
2,0000000.7433016,000000000000000,93.3983619213,-00000000000000,0000001.3127576
3,0000000.7326424,000000000000000,109.353607893,-00000000000000,0000001.5007112
4,0000000.7387964,000000000000000,111.263311863,-00000000000000,0000001.3999224
5,0000000.7435294,000000000000000,110.276484013,-00000000000000,0000001.3078258
6,0000000.7318452,000000000000000,125.395226002,-00000000000000,0000001.4993359
7,0000000.7384764,000000000000000,123.153074026,-00000000000000,0000001.3973507
8,0000000.7446176,000000000000000,122.156343937,-00000000000000,0000001.3042609
9,0000000.7321158,000000000000000,137.540274143,-00000000000000,0000001.4985469
10,0000000.7400211,000000000000000,136.099518061,-00000000000000,0000001.3959529
11,0000000.7480851,000000000000000,134.704078913,-00000000000000,0000001.3024563
12,0000000.7337088,000000000000000,151.464793205,-00000000000000,00000001.497962
13,0000000.7420518,000000000000000,149.600400925,-00000000000000,0000001.3949361
14,0000000.7513683,000000000000000,145.486299992,-00000000000000,000000001.30118
