,best,mean,time,variance,worst
0,0000000.7639844,000000000000000,101.426670074,-00000000000000,0000001.5025929
1,0000000.7658404,000000000000000,107.871855974,-00000000000000,0000001.4034783
2,0000000.7678275,000000000000000,115.671313047,-00000000000000,0000001.3128234
3,0000000.7646679,000000000000000,131.563925028,-00000000000000,0000001.5010751
4,0000000.7662657,000000000000000,133.825836897,-00000000000000,0000001.4005996
5,0000000.7695174,000000000000000,132.375844955,-00000000000000,0000001.3087628
6,0000000.7658451,000000000000000,153.897358179,-00000000000000,0000001.4997784
7,0000000.7681206,000000000000000,147.510010004,-00000000000000,0000001.3981573
8,0000000.7719492,000000000000000,149.066956997,-00000000000000,0000001.3053471
9,0000000.7686469,000000000000000,167.674832821,-00000000000000,0000001.4988575
10,0000000.7719978,000000000000000,169.804463863,-00000000000000,0000001.3964609
11,0000000.7748601,000000000000000,173.271380901,-00000000000000,0000001.3030411
12,0000000.7725483,000000000000000,135.154871941,-00000000000000,0000001.4985394
13,0000000.7752767,000000000000000,173.949749947,-00000000000000,0000001.3959292
14,0000000.7793553,000000000000000,217.679595947,-00000000000000,0000001.3024149
