,best,mean,time,variance,worst
0,002.49946000529,0002.7152712202,14.9252569675,00.019819420383,002.89023570683
1,002.32731977149,002.48652243322,25.4109380245,0.0167442507159,002.69955687004
2,0002.0803716207,002.29727656232,39.2453331947,0.0156748724502,002.47413341411
3,001.88644392191,002.21759601928,55.1318218708,00.020216889227,002.36726156919
4,001.89927752763,002.13279355198,71.6459820271,00.019971639185,0002.3371187842
5,002.00046870005,002.13080629315,87.2225301266,0.00739982068603,002.29336443976
6,001.93755599518,0002.1118077083,102.053495169,0.00856246138886,002.25328417114
7,001.99344792293,0002.1575556804,115.717725039,0.00630731364347,002.29879276676
8,001.91760092703,002.08832655628,131.699180126,0.0105274173678,002.25240360541
9,001.83554445915,002.01549316159,154.083673,0.0112043754314,002.25469761613
